Continent,Country,Cluster,Location,Endemic,pcPop,country_population,Deaths/yr,Exposures/yr,Death rate/ yr,Bite rate/ yr,Year,Incidence,PP,Data source,corrected_Country
Europe,Serbia and Montenegro,EasternEurope,countrywide,1,100.00%,10525000,0,1609,0,0.0001529,2009-2010,Y,N,"Rabies Bulletin Europe website, Aylan et al. 2011. MEEREB meeting 2010",Serbia and Montenegro
Europe,Slovakia,EasternEurope,countrywide,1,100.00%,"5,411,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Slovakia
Europe,Slovenia,EasternEurope,countrywide,1,100.00%,"2,025,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Slovenia
Africa,South Africa,SADC,countrywide,1,100.00%,"50,491,000",22,,0.00000044,,2007,N,N,Weyer et al 2010 - note these are laboratory diagnosed cases only,South Africa
Africa,South Africa,SADC,KwaZulu-natal,1,20.30%,"50,491,000",8,43432,0.00000078,0.004230129,2007,Y,N,Questionnaires (KZN + Weyer et al. 2010),South Africa
Africa,South Africa,SADC,KwaZulu-natal,1,20.30%,"50,491,000",7,5139,,,2008-2010,N,Y,Kubheka et al.,South Africa
Europe,Spain,EU,countrywide,0,100.00%,"45,317,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Spain
Asia,Sri Lanka,Asia_4,countrywide,1,100.00%,"20,411,000",97,200000,0.0000048,0.0097986,2004,N,N,"Dodet B, 2006",Sri Lanka
Asia,Sri Lanka,Asia_4,countrywide,1,100.00%,"20,411,000",56,200000,0.000028,0.009901,2007,N,N,Kumarapeli et al 2009,Sri Lanka
Asia,Sri Lanka,Asia_4,countrywide,1,100.00%,"20,411,000",51,174000,0.0000027,0.0085248,2008,N,N,"RIACON 2009, www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf",Sri Lanka
Asia,Sri Lanka,Asia_4,countrywide,1,100.00%,"20,411,000",50,250000,2.4497E-06,0.012248,2011,Y,N,Gongal et al 2011,Sri Lanka
Asia,Sri Lanka,Asia_4,countrywide,1,100.00%,"20,411,000",49,47250,2.4007E-06,0.002315,2011,N,Y,country profile 2010,Sri Lanka
Africa,Sudan,NorthAfrica,countrywide,1,100.00%,"43,194,000",23,9905,0.00000053,0.0002293,1992-2002,N,Y,"Ali Y.H, 2006",Sudan
Africa,Sudan,NorthAfrica,countrywide,1,100.00%,"43,194,000",5,10738,0.0000001,0.0002486,2003-2006,Y,N,"Dr. Ibrahim Hassan Ahmed, 2008",Sudan
Europe,Sweden,EU,countrywide,0,100.00%,"9,294,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Sweden
Europe,Switzerland,EU,countrywide,0,100.00%,"7,597,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,Switzerland
Middle East,Syrian Arab Republic,MiddleEast,countrywide,1,100.00%,"22,505,000",5,,0.00000021,,1997-2002,N,N,David et al 2009,Syrian Arab Republic
Eurasia,Tajikistan,Eurasia,countrywide,1,100.00%,"7,075,000",9,14137,0.00000127,0.001998,2007,Y,Y,WHO mission report,Tajikistan
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",19,351535,0.0000003,0.0051591,2004,N,N,"Dodet B, 2006",Thailand
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",54,,0.0000005,,2001,N,N,"Kongkaew, 2004 - Hinjoy et al 2002",Thailand
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",8,400000,0.00000012,0.0058704,2008,N,N,www.searo.who.int/LinkFiles/CDS_rabies.pdf.pdf  ,Thailand
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",16,,0.00000023,,2009,N,N,questionnaires,Thailand
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",23,350000,0.00000034,0.0051366,2009,N,Y,country profile 2010,Thailand
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",9,350000,0.000000142,0.0051366,2008,N,N,RIACON 2009,Thailand
Asia,Thailand,Asia_4,countrywide,1,100.00%,"68,139,000",25,400000,3.669E-07,0.005870353,2011,Y,N,Gongal et al 2011,Thailand
Europe,The former Yugoslav Republic of Macedonia,EasternEurope,countrywide,1,100.00%,"2,041,000",0,,,,2010,N,N,Rabies Bulletin Europe website,The former Yugoslav Republic of Macedonia
Africa,Togo,Francophone,countrywide,1,100.00%,"6,781,000",39,2000,0.000006,0.0002949,2008,N,Y,"Dodet B, 2009",Togo
Africa,Togo,Francophone,countrywide,1,100.00%,"6,781,000",17,1600,0.00000251,0.000236,2010,N,N,questionnaires,Togo
Africa,Tunisia,NorthAfrica,countrywide,1,100.00%,"10,374,000",6,34784,0.0000006,0.003353,2008,Y,Y,"Dodet B, 2009",Tunisia
Africa,Tunisia,NorthAfrica,countrywide,1,100.00%,"10,374,000",,36196,,0.003489,1996,N,N,Seghaier et al 1999,Tunisia
Europe,Turkey,EasternEurope,countrywide,1,100.00%,"75,705,000",,,,0.00407,2001,N,N,Kilic et al 2005,Turkey
Europe,Turkey,EasternEurope,countrywide,1,100.00%,"75,705,000",3,80000,0.00000004,0.0010567,2002,N,N,Buyok 2007,Turkey
Europe,Turkey,EasternEurope,countrywide,1,100.00%,"75,705,000",2,178250,0.00000003,0.0023545,2009,Y,Y,Aylan et al. 2011. MEEREB meeting 2010,Turkey
Africa,Uganda,SADC,countrywide,1,100.00%,"33,797,000",56,13384,0.00000165,0.000396,2005,Y,Y,"Fevre EM, 2005",Uganda
Africa,Uganda,SADC,countrywide,1,100.00%,"33,797,000",,1325,,0.0000392,2010,N,N,questionnaires,Uganda
Europe,Ukraine,EasternEurope,countrywide,1,100.00%,"45,436,000",5,,0.00000011,,2009-2010,N,N,Rabies Bulletin Europe website,Ukraine
Europe,Ukraine,EasternEurope,countrywide,1,100.00%,"45,436,000",6,21000,0.00000013,0.0004622,2009,Y,Y,Aylan et al. 2011. MEEREB meeting 2010,Ukraine
Europe,United Kingdom,EU,countrywide,0,100.00%,"61,899,000",0,,,,2009-2010,N,N,Rabies Bulletin Europe website,United Kingdom
Africa,United Republic of Tanzania,SADC,Mwanza - lake zone,1,4.20%,"45,039,000",,26123,,0.00058,2005,N,N,Mazigo et al. 2010,United Republic of Tanzania
Africa,United Republic of Tanzania,SADC,Serengeti - conservative,1,0.50%,"45,039,000",680,36707,0.0000151,0.000815,2002-2006,Y,Y,Hampson et al 2008,United Republic of Tanzania
Africa,United Republic of Tanzania,SADC,Ngorongoro,1,0.40%,"45,039,000",1031,10809,0.0000229,0.00024,2002-2006,N,N,Hampson et al 2008,United Republic of Tanzania
Africa,United Republic of Tanzania,SADC,countrywide,1,100.00%,"45,039,000",36,,0.0000008,,2010,N,N,questionnaires,United Republic of Tanzania
Americas,United States of America,NorthAmerica,countrywide,0,100.00%,"317,640,000",3,,0.00000001,,2009-2010,N,N,CDC website,United States of America
Americas,Uruguay,SouthernCone,countrywide,1,100.00%,"3,373,000",0,2527,,0.000752849,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Uruguay
Americas,Uruguay,SouthernCone,countrywide,1,100.00%,"3,373,000",0,2608,,0.0007732,2010,N,N,questionnaires,Uruguay
Eurasia,Uzbekistan,Eurasia,countrywide,1,100.00%,"27,793,000",6,54267,2.159E-07,0.001952542,2007,Y,Y,WHO mission report,Uzbekistan
Americas,Venezuela (Bolivarian Republic of),Andean,countrywide,1,100.00%,"29,044,000",1,43733,0.00000002,0.001489899,2009-2010,Y,Y,"PAN AMERICAN FOOT-AND-MOUTH DISEASE CENTER website/ REDIPRA XIII, BUENOS AIRES, ARGENTINA-PANAFTOSA/OPS, 2010 ",Venezuela (Bolivarian Republic of)
Asia,Viet Nam,Asia_2,countrywide,1,100.00%,"89,029,000",81,615000,0.00000099,0.0069079,2004,N,N,"Dodet B, 2006",Viet Nam
Asia,Viet Nam,Asia_2,countrywide,1,100.00%,"89,029,000",95,336797,0.00000107,0.003783,2008,Y,Y,RIACON 2009,Viet Nam
Africa,Zambia,SADC,countrywide,1,100.00%,"13,255,000",204,5000,0.00001539,0.0003772,2010,Y,Y,questionnaires,Zambia
Africa,Zimbabwe,SADC,countrywide,1,100.00%,"12,643,000",20,,0.00000158,,2010,N,N,questionnaires,Zimbabwe
